"","X","Round","Cycle","MouseID","Gender","Donor","ASD_diagnosis","OFT_Distance","OFT_velocity","OFT_LrgCntr_freq","OFT_LrgCntr_duration","OFT_LrgCntr_latency","OFT_SmlCntr_freq","OFT_SmlCntr_duration","OFT_SmlCntr_latency","OFT_Movement","MB_visible","MB_buried","MB_percentBuried","DSI_Agrsn_freq","DSI_Agrsn_duration","DSI_Social_freq","DSI_Social_duration","DSI_Groom_freq","DSI_Groom_Duration","SI_Habit_Social","SI_Habit_Cntr","SI_Habit_NonSocial","SI_Sociability_Social","SI_Sociability_Cntr","SI_Sociability_NonSocial","Unnamed..30","Unnamed..31","Unnamed..32","USV_freq","USV_Duration","DSI_USV_median","DSI_USV_StdDev","DSI_USV_Freq","DSI_USV_Duration","DSI_USV_Slbl_num","DSI_USV_Slbl_Duration","DSI_USV_Slbl_Gap_Length","DSI_USV_Slbl_Bout_freq","DSI_USV_Slbl_Bout_gap","DSI_USV_Slbl_SlblPerBout","Unnamed..45","SI_index"
"175",664,10,3,33,"Female","C4","NT",5317.25,8.97791,119,67.6677,0.567233,44,40.9409,0.734067,55.8639,7,13,65,0,0,16,15.73,4,14.47,116.383,183.617,266.033,252.553,53.4534,215.315,NA,NA,NA,NA,NA,0.00536,0.01196,89,0.4778,3,5,107906,2,50119,2,NA,3.97954123812699
"176",665,10,3,34,"Female","C4","NT",4439.84,7.48253,125,122.289,1.33467,44,29.7631,1.83517,49.4689,5,15,75,0,0,13,28.815,3,9.715,99.0991,187.321,228.028,258.859,61.5616,222.856,NA,NA,NA,NA,NA,0.00363,0.00776,170,0.6185,117,12,2937,50,158,2,NA,3.73696065100734
"177",666,10,3,35,"Female","C4","NT",4974.22,8.42008,138,82.7161,7.50751,63,147.014,7.67434,58.0771,19,1,5,0,0,11,15.11,3,6.04,102.836,179.98,293.46,235.002,79.0457,218.986,NA,NA,NA,NA,NA,0.0062,0.01302,77,0.4778,42,5,3170,26,501,2,NA,1.76392327550508
"178",667,10,3,36,"Female","C4","NT",5331.41,8.9559,150,81.348,1.9019,61,54.5546,17.3507,57.1262,19,1,5,0,0,12,11.89,2,6.01,175.242,174.141,197.331,248.182,80.4137,189.756,NA,NA,NA,NA,NA,0.00805,0.01537,71,0.5721,53,15,4601,8,10000,7,NA,6.67057894039796
"179",668,10,3,37,"Female","A9-old","ASD",3790.72,6.66557,100,88.9556,26.4264,35,45.3453,26.6266,46.3716,5,15,75,0,0,13,26.135,7,9.285,184.484,229.63,126.994,259.059,93.627,190.691,NA,NA,NA,NA,NA,0.00774,0.01748,311,2.409,108,12,2858,48,158,2,NA,7.60066703724291
"180",669,10,3,38,"Female","A9-old","ASD",3761.3,6.45256,91,63.1298,1.7017,30,36.4364,14.7481,46.1213,9,11,55,0,0,10,21.25,5,9.25,218.852,144.978,102.87,290.324,64.0641,155.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1613974763548
"181",670,10,3,39,"Female","A9-old","ASD",3662.99,6.21735,131,85.0851,6.17284,35,51.3514,6.97364,45.5931,6,14,70,0,0,7,13.815,3,11.04,185.219,190.29,154.321,277.644,73.4067,188.322,NA,NA,NA,NA,NA,0.00326,0.00653,67,0.219,10,4,31708,9,13,1,NA,9.58460488533498
"182",671,10,3,40,"Female","A9-old","ASD",4409.74,7.52362,116,77.6777,3.06974,45,42.4758,6.57324,52.9055,3,17,85,0,0,14,25.95,4,7.25,171.839,158.325,203.704,259.493,48.6153,184.618,NA,NA,NA,NA,NA,0.00269,0.00648,267,0.7205,119,14,2954,37,200,3,NA,8.42976192888715
"183",672,10,3,41,"Female","A17-old","ASD",4301.15,7.36055,103,74.975,10.7774,39,69.0023,10.9776,50.5783,19,1,5,0,0,8,4.915,2,6.84,179.313,181.181,189.022,229.396,83.9506,249.116,NA,NA,NA,NA,NA,0.00726,0.01489,139,1.0091,6,5,53988,4,1000,2,NA,-2.06055438526097
"184",673,10,3,42,"Female","A17-old","ASD",5347.2,9.13606,100,60.6273,0,38,33.3,0.133466,58.9468,10,10,50,0,0,13,27.85,1,7.11,213.947,142.876,159.96,242.009,67.4341,216.383,NA,NA,NA,NA,NA,0.00822,0.01572,102,0.8393,23,15,14732,5,19953,5,NA,2.79520585001484
"185",674,10,3,43,"Female","A17-old","ASD",3959.21,6.88269,135,79.8799,3.43677,55,64.1975,9.30931,49.127,8,12,60,0,0,5,4.94,3,2.775,189.022,134.735,148.215,240.107,43.2099,247.381,NA,NA,NA,NA,NA,0.00544,0.00847,76,0.4138,39,10,7112,21,200,2,NA,-0.746069646842585
"186",675,10,3,44,"Female","A17-old","ASD",5640.62,9.54865,155,84.5846,0.7007,65,70.8375,0,60.2369,16,4,20,0,0,13,16.06,3,6.48,151.652,146.513,163.63,218.752,65.8325,201.635,NA,NA,NA,NA,NA,0.00965,0.02247,142,1.3705,22,12,14728,13,158,2,NA,2.03586219364538
"187",676,10,3,45,"Female","A11-old","ASD",3559.74,6.22654,81,63.4301,0,27,39.4394,18.4518,48.7182,11,9,45,0,0,20,16.93,6,6.765,173.44,203.804,183.383,209.142,108.909,229.496,NA,NA,NA,NA,NA,0.00773,0.01171,110,0.851,67,24,5298,16,200,4,NA,-2.32013642228899
"188",677,10,3,46,"Female","A11-old","ASD",4029.45,6.87479,101,59.4928,1.56823,36,31.4648,8.44177,48.5347,15,5,25,0,0,15,25.23,2,10.105,111.345,229.096,183.65,303.804,80.0133,179.613,NA,NA,NA,NA,NA,0.00677,0.01244,193,1.3078,154,18,2315,51,200,3,NA,12.8451212927969
"189",678,10,3,47,"Female","A11-old","ASD",4572.73,8.09,112,62.4958,4.2042,52,58.3584,4.5045,53.9454,7,13,65,0,0,5,7.34,4,8.055,190.157,164.064,139.606,244.878,74.3076,196.129,NA,NA,NA,NA,NA,0.00775,0.01143,129,1.0006,98,19,2551,20,200,5,NA,5.52700977535504
"190",679,10,3,48,"Female","A11-old","ASD",3489.4,6.09922,135,89.7564,7.30731,53,32.1655,60.4271,44.8423,12,8,40,0,0,5,6.54,3,11.92,103.203,197.364,235.736,240.941,60.7941,228.028,NA,NA,NA,NA,NA,0.00838,0.01888,154,1.2909,28,5,10107,13,5012,2,NA,1.37674345212584
"191",680,10,3,49,"Female","C4","NT",5076.61,9.11709,116,68.2015,6.57324,46,42.3423,6.87354,54.1567,13,7,35,0,0,13,12.985,3,13.815,80.2803,186.486,214.815,269.57,64.1642,231.498,NA,NA,NA,NA,NA,0.00756,0.01208,95,0.7182,15,6,18494,12,126,1,NA,3.79908515411082
