"","X","Round","Cycle","MouseID","Gender","Donor","ASD_diagnosis","OFT_Distance","OFT_velocity","OFT_LrgCntr_freq","OFT_LrgCntr_duration","OFT_LrgCntr_latency","OFT_SmlCntr_freq","OFT_SmlCntr_duration","OFT_SmlCntr_latency","OFT_Movement","MB_visible","MB_buried","MB_percentBuried","DSI_Agrsn_freq","DSI_Agrsn_duration","DSI_Social_freq","DSI_Social_duration","DSI_Groom_freq","DSI_Groom_Duration","SI_Habit_Social","SI_Habit_Cntr","SI_Habit_NonSocial","SI_Sociability_Social","SI_Sociability_Cntr","SI_Sociability_NonSocial","Unnamed..30","Unnamed..31","Unnamed..32","USV_freq","USV_Duration","DSI_USV_median","DSI_USV_StdDev","DSI_USV_Freq","DSI_USV_Duration","DSI_USV_Slbl_num","DSI_USV_Slbl_Duration","DSI_USV_Slbl_Gap_Length","DSI_USV_Slbl_Bout_freq","DSI_USV_Slbl_Bout_gap","DSI_USV_Slbl_SlblPerBout","Unnamed..45","SI_index"
"21",31,1,1,33,"Female","A24-new","ASD",4891.91,9.33705,126,81.1478,10.0767,55,49.7831,10.6106,69.5952,14,6,30,NA,NA,NA,NA,NA,NA,164.298,148.482,258.392,237.905,83.0163,253.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.57564137010169
"22",32,1,1,35,"Female","A24-new","ASD",4089.96,7.42706,102,78.6119,0.467133,45,74.8081,0,62.1817,15,5,25,NA,NA,NA,NA,NA,NA,234.168,181.648,126.793,251.185,70.8709,257.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.610134965078963
"23",33,1,1,35,"Male","A24-new","ASD",3855.53,6.84133,115,78.345,0.867534,66,88.0214,1.33467,66.0698,7,13,65,NA,NA,NA,NA,NA,NA,256.39,175.175,154.621,225.292,116.45,245.112,NA,NA,NA,1063,47.8241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.10669977296111
"24",34,1,1,36,"Female","A24-new","ASD",4495.27,8.04221,150,134.801,0,57,63.1965,0.133466,70.0545,15,5,25,NA,NA,NA,NA,NA,NA,87.5542,244.645,211.879,241.975,108.442,229.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35979555840446
"25",35,1,1,37,"Female","A24-new","ASD",5124.85,9.22474,143,70.6707,4.67134,76,71.338,5.07174,72.0004,10,10,50,NA,NA,NA,NA,NA,NA,232.499,145.879,185.452,294.962,98.1648,179.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1222428386993
"26",36,1,1,38,"Female","A24-new","ASD",3992.69,7.43697,131,96.4965,5.13847,65,66.9336,5.53887,62.5598,8,12,60,NA,NA,NA,NA,NA,NA,231.965,173.574,155.956,266.266,94.2276,212.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.57095332111715
"27",37,1,1,39,"Female","C1","NT",5171.05,9.03968,96,52.6527,17.017,33,33.033,61.1278,72.4008,8,12,60,NA,NA,NA,NA,NA,NA,144.478,163.297,256.523,313.714,77.8779,192.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9367550695252
"28",38,1,1,40,"Male","C1","NT",3589.13,6.32594,78,72.7394,0,30,65.2653,31.8986,60.4804,13,7,35,NA,NA,NA,NA,NA,NA,255.455,180.18,144.011,262.796,95.2286,219.419,NA,NA,NA,106,0.3579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49768256897856
"29",39,1,1,41,"Male","C1","NT",3551.97,6.21078,89,69.8699,0,36,99.4328,10.6106,59.8465,19,1,5,NA,NA,NA,NA,NA,NA,278.278,144.411,134.201,211.478,125.926,248.715,NA,NA,NA,390,17.9951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.04580252198534
"30",40,1,1,42,"Male","C1","NT",5244.91,9.22476,136,99.0991,1.53487,56,88.355,7.14047,75.1557,19,1,5,NA,NA,NA,NA,NA,NA,250.25,146.613,180.247,291.158,90.7574,199.132,NA,NA,NA,1,2e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.38485386200004
"31",41,1,1,43,"Male","C1","NT",3751.19,6.3964,91,68.8689,1.4014,26,64.6647,6.40641,59.5641,13,7,35,NA,NA,NA,NA,NA,NA,229.296,189.323,143.477,185.586,144.144,213.881,NA,NA,NA,1179,15.9818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.54159417423718
"32",42,1,1,44,"Male","C1","NT",2303.66,4.08524,72,101.101,31.9653,26,73.8739,94.4945,44.117,20,0,0,NA,NA,NA,NA,NA,NA,235.435,155.088,190.991,317.05,70.337,189.723,NA,NA,NA,204,1.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5625279957693
"33",43,1,1,46,"Female","A24-new","ASD",3622.66,6.57209,81,62.9296,25.4254,27,89.4895,25.8926,61.4769,18,2,10,NA,NA,NA,NA,NA,NA,93.1598,212.346,253.72,331.798,48.315,191.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4102618985736
"34",44,1,1,46,"Male","A24-new","ASD",3300.87,5.63688,105,91.2246,6.27294,43,148.682,7.34067,58.4853,16,4,20,NA,NA,NA,NA,NA,NA,261.528,199.666,128.328,323.323,80.0801,173.04,NA,NA,NA,69,0.3854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1384168441242
"35",45,1,1,47,"Female","A24-new","ASD",4145.2,7.64408,89,69.0691,11.4781,26,47.7811,33.6336,63.423,3,17,85,NA,NA,NA,NA,NA,NA,152.286,171.905,258.659,314.448,50.5172,192.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0653718616769
"36",46,1,1,48,"Female","A24-new","ASD",3194.97,6.21775,98,77.4107,60.1268,26,27.027,60.3937,55.3492,8,12,60,NA,NA,NA,NA,NA,NA,204.805,149.416,167.1,194.928,113.58,250.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.23313230559211
"37",47,1,1,49,"Female","A24-new","ASD",3884.02,7.34411,111,82.1488,11.5449,52,46.7801,18.285,60.3981,9,11,55,NA,NA,NA,NA,NA,NA,188.188,220.354,170.37,338.939,67.4675,182.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0320038066878
"38",99,2,1,42,"Male","A11-old","ASD",3078.08,5.28321,58,39.306,3.03637,24,33.1331,3.43677,40.2636,8,12,60,NA,NA,NA,NA,NA,NA,169.57,249.816,154.922,257.591,74.1408,240.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69759063951913
"39",100,2,1,43,"Male","A11-old","ASD",4469.81,7.4763,100,41.4081,2.66934,43,35.4688,3.13647,48.849,9,11,55,NA,NA,NA,NA,NA,NA,148.749,179.947,199.666,278.846,57.324,262.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52603132073729
"40",101,2,1,44,"Male","A11-old","ASD",3793.11,6.3222,92,61.8619,1.7017,36,66.2663,2.23557,47.2531,3,17,85,NA,NA,NA,NA,NA,NA,90.2236,300.968,194.027,235.602,113.514,240.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.490884179912413
"41",102,2,1,45,"Male","A11-old","ASD",3477.36,6.19451,67,39.7064,13.3467,29,87.0871,13.8138,42.0262,7,13,65,NA,NA,NA,NA,NA,NA,173.207,245.379,162.663,209.476,66.333,317.184,NA,NA,NA,598,17.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.225572475601
"42",103,2,1,47,"Male","A11-old","ASD",6070.32,10.2737,143,75.8091,1.5015,63,61.8619,1.9019,57.5043,2,18,90,NA,NA,NA,NA,NA,NA,126.059,172.272,274.274,216.083,134.835,248.248,NA,NA,NA,373,6.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.46358524414696
"43",104,2,1,48,"Male","A11-old","ASD",6416.48,10.7239,145,90.4238,13.1131,57,43.3767,13.3467,61.4636,14,6,30,NA,NA,NA,NA,NA,NA,231.131,192.459,156.957,295.195,92.5926,173.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9723808528294
"44",105,2,1,49,"Male","A11-old","ASD",5863.56,9.8278,120,63.5969,2.26893,48,42.9429,2.53587,58.9501,5,15,75,NA,NA,NA,NA,NA,NA,176.009,176.977,225.926,190.09,83.2833,312.613,NA,NA,NA,338,4.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.1864202123321
"45",106,2,1,50,"Male","A11-old","ASD",5254.06,8.90383,158,109.543,2.26893,72,111.645,2.56923,55.6303,3,17,85,NA,NA,NA,NA,NA,NA,132.966,251.952,205.506,270.771,90.8575,232.666,NA,NA,NA,478,16.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78448544703706
"46",107,2,1,51,"Male","A11-old","ASD",4212.31,7.23124,107,50.2836,9.74308,33,52.5526,10.0434,50.1168,10,10,50,NA,NA,NA,NA,NA,NA,267.601,250.117,69.4027,228.762,126.66,226.66,NA,NA,NA,801,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230774973541024
"47",108,2,1,52,"Male","A11-old","ASD",3766.61,6.36332,63,38.4718,20.4204,20,13.9473,20.8542,44.4284,15,5,25,NA,NA,NA,NA,NA,NA,216.683,177.744,179.479,190.09,166.7,208.175,NA,NA,NA,201,2.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.270473177407
"48",109,2,1,53,"Male","A11-old","ASD",5532.44,9.27748,99,43.677,2.06873,33,21.2546,24.3911,59.3528,6,14,70,NA,NA,NA,NA,NA,NA,277.311,116.383,167,289.456,88.2549,201.201,NA,NA,NA,400,6.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.99355354147602
"49",110,2,1,54,"Male","A11-old","ASD",6755.36,11.4035,145,78.8455,11.645,61,63.5969,33.1331,66.1088,6,14,70,NA,NA,NA,NA,NA,NA,227.861,167.834,177.277,216.416,187.154,173.707,NA,NA,NA,184,2.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4737864724715
"50",111,2,1,55,"Female","A11-old","ASD",5242.36,8.80534,96,54.1542,2.56923,29,61.8285,20.2536,54.9655,16,4,20,NA,NA,NA,NA,NA,NA,212.779,215.616,143.51,211.645,124.925,247.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.89921845730267
"51",112,2,1,56,"Female","A11-old","ASD",6366.45,10.6576,201,113.847,0.4004,85,96.8302,0.6006,62.5667,13,7,35,NA,NA,NA,NA,NA,NA,201.268,172.873,172.306,225.125,104.238,253.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.92025145447929
"52",113,2,1,57,"Female","A11-old","ASD",4398.8,7.46543,103,72.339,8.07474,36,74.4411,35.5355,53.6088,10,10,50,NA,NA,NA,NA,NA,NA,190.39,286.987,104.037,280.848,102.102,205.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.80513859130231
"53",114,2,1,58,"Female","A11-old","ASD",4329.66,7.44121,98,38.5052,4.5045,37,67.0003,33.5002,48.6822,9,11,55,NA,NA,NA,NA,NA,NA,223.39,202.336,157.791,212.746,113.747,258.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.84739086234085
"54",115,2,1,59,"Female","A11-old","ASD",4185.98,7.12928,112,90.0901,5.13847,43,115.582,18.1849,50.9342,11,9,45,NA,NA,NA,NA,NA,NA,120.087,216.817,242.176,224.525,112.713,259.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.58023006756477
"55",116,2,1,60,"Female","A11-old","ASD",3504.73,6.14502,97,99.7998,14.3477,51,61.695,15.1818,42.0207,7,13,65,NA,NA,NA,NA,NA,NA,199.132,222.122,160.06,176.944,95.5289,314.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.9716976329855
"56",117,2,1,61,"Female","A11-old","ASD",4153.9,7.59053,87,57.5242,3.83717,36,31.7317,4.1041,48.0483,14,6,30,NA,NA,NA,NA,NA,NA,272.206,194.094,85.3854,284.785,168.468,126.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2551998852171
"57",118,2,1,62,"Female","A11-old","ASD",4194.61,7.4598,107,79.4795,11.1111,36,92.626,11.5449,47.6368,16,4,20,NA,NA,NA,NA,NA,NA,253.053,233.6,94.4945,294.428,46.9469,241.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.90294068286497
"58",160,3,1,28,"Male","N5","NT",5954.47,10.0703,158,68.1014,4.2042,64,42.1421,16.6166,63.3508,16,4,20,NA,NA,NA,NA,NA,NA,190.657,233.467,144.044,307.407,97.3307,192.759,NA,NA,NA,628,21.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4609949496767
"59",161,3,1,29,"Male","N5","NT",5349.23,8.9268,115,46.2129,0.8008,47,32.666,0,55.4715,14,6,30,NA,NA,NA,NA,NA,NA,184.318,214.181,168.302,387.888,53.9873,142.142,NA,NA,NA,754,29.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1822727015452
"60",162,3,1,30,"Male","N5","NT",4195.56,7.08959,73,37.2372,0.333667,19,19.5863,0,52.6023,11,9,45,NA,NA,NA,NA,NA,NA,212.846,126.994,198.832,204.004,93.627,291.592,NA,NA,NA,938,41.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.83663306402796
"61",163,3,1,31,"Male","N5","NT",4785.65,8.12381,100,80.4137,4.07074,34,32.1655,5.40541,53.1194,17,3,15,NA,NA,NA,NA,NA,NA,165.432,146.113,248.549,249.75,136.436,194.461,NA,NA,NA,954,40.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22328127849153
"62",164,3,1,32,"Male","N5","NT",5003.37,8.44889,97,57.7911,4.5045,29,32.4992,73.1398,52.8277,13,7,35,NA,NA,NA,NA,NA,NA,174.107,222.89,166.433,229.029,53.8205,312.179,NA,NA,NA,213,2.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.68188940296523
"63",165,3,1,33,"Male","N5","NT",3502.31,5.87409,64,34.9683,56.1562,26,20.9209,56.5899,43.0796,19,1,5,NA,NA,NA,NA,NA,NA,317.484,170.938,57.1905,305.272,82.7494,189.389,NA,NA,NA,613,9.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7133754227643
"64",166,3,1,34,"Male","N5","NT",5921.96,9.87543,146,65.5989,4.97164,60,41.7751,32.0988,62.4367,15,5,25,NA,NA,NA,NA,NA,NA,269.169,146.513,143.71,291.491,57.0237,248.182,NA,NA,NA,413,5.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01252239782238
"65",167,3,1,35,"Male","N5","NT",5201.08,8.79415,159,88.3217,36.2696,66,101.535,45.4454,56.5645,18,2,10,NA,NA,NA,NA,NA,NA,205.539,192.259,181.949,310.41,52.7194,219.186,NA,NA,NA,519,22.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.61260281422066
"66",196,3,1,64,"Female","N5","NT",6509.3,11.0755,194,83.717,3.13647,77,75.0083,30.5639,66.5925,12,8,40,NA,NA,NA,NA,NA,NA,264.765,168.535,156.323,263.33,176.977,113.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7975227750433
"67",197,3,1,65,"Female","N5","NT",8116.88,13.7584,169,69.2025,3.6036,76,82.0153,3.8038,65.4637,16,4,20,NA,NA,NA,NA,NA,NA,201.001,180.18,189.59,320.053,104.671,150.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0283546240993
"68",198,3,1,66,"Female","N5","NT",5248.76,8.79636,129,53.3534,16.8502,64,54.9883,25.1919,57.1897,18,2,10,NA,NA,NA,NA,NA,NA,256.89,199.166,99.0991,207.908,226.36,143.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.11767632967001
"69",199,3,1,67,"Female","N5","NT",6815.3,11.6014,172,81.0811,0.5005,69,63.6303,0.8008,61.905,16,4,20,NA,NA,NA,NA,NA,NA,213.08,177.544,172.973,302.703,94.0607,196.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6579124025866
"70",200,3,1,68,"Female","N5","NT",5270.48,9.03071,125,75.1084,10.377,40,65.3654,10.7107,57.1262,19,1,5,NA,NA,NA,NA,NA,NA,141.175,226.994,159.193,282.416,89.6897,222.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97516936286265
"71",201,3,1,69,"Female","N5","NT",7380.24,12.4675,147,59.1925,15.2819,64,46.046,85.986,65.6175,15,5,25,NA,NA,NA,NA,NA,NA,175.309,193.126,195.162,276.276,87.8879,223.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25895760911742
"72",202,3,1,70,"Female","N5","NT",6593.69,11.1482,172,92.993,9.80981,76,52.7861,20.2536,63.599,14,6,30,NA,NA,NA,NA,NA,NA,149.416,196.897,218.952,248.415,61.7618,280.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.99577101013254
"73",203,3,1,71,"Female","N5","NT",5225.76,9.03728,97,38.3717,0,27,48.1148,8.04137,52.5385,5,15,75,NA,NA,NA,NA,NA,NA,122.222,239.773,194.261,216.65,69.8365,261.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.71476467981573
"74",204,3,1,72,"Female","N5","NT",4527.5,7.5534,130,89.7564,0.233566,51,44.2442,0,52.6635,18,2,10,NA,NA,NA,NA,NA,NA,108.876,241.241,202.803,222.756,144.645,191.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75632570026136
"75",205,3,1,73,"Female","N5","NT",4862.16,8.20398,131,70.9042,12.6126,60,46.0461,13.1131,52.2742,3,17,85,NA,NA,NA,NA,NA,NA,149.483,258.258,150.784,269.703,120.854,162.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3351499771186
"76",206,3,1,74,"Female","N5","NT",3560.52,6.26373,59,66.2996,14.7147,23,17.6176,27.3607,42.3599,11,9,45,NA,NA,NA,NA,NA,NA,276.977,193.227,101.668,346.647,63.7971,185.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1470872901471
"77",207,3,1,75,"Female","N5","NT",4887.86,8.62207,145,78.1782,10.1101,48,46.5799,10.3103,51.8294,16,4,20,NA,NA,NA,NA,NA,NA,243.777,213.58,115.015,274.107,100.534,218.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.63071565129504
"78",566,9,3,1,"Male","C1","NT",4565.92,7.60987,101,54.7214,17.4508,42,38.7721,17.7177,53.7396,18,2,10,0,0,21,73.465,4,1.38,128.061,245.179,154.588,200.367,106.139,274.975,NA,NA,NA,NA,NA,0.00727,0.01771,140,1.0189,71,11,2991,37,158,2,NA,-7.84782325146947
"79",567,9,3,2,"Male","C1","NT",4606.63,7.68969,145,68.3684,8.67534,61,91.4248,8.97564,52.5218,19,1,5,0,0,17,22,5,12.69,227.895,168.135,105.839,214.114,95.7291,239.506,NA,NA,NA,NA,NA,0.0114,0.02203,162,1.8482,49,11,4266,18,158,3,NA,-2.7988183942507
"80",568,9,3,3,"Male","C1","NT",3706.65,6.17912,127,108.509,2.2022,40,26.9603,2.4024,44.6255,13,7,35,0,0,15,38.165,0,0,102.803,230.33,174.741,219.453,85.9193,277.144,NA,NA,NA,NA,NA,0.00978,0.01933,64,0.6262,7,26,49440,6,200,1,NA,-5.80863356000943
"81",569,9,3,4,"Male","C1","NT",4120.61,6.86768,91,71.3046,4.37104,35,51.2512,9.40941,46.9777,14,6,30,0,0,21,56.82,1,6.535,231.665,178.378,127.127,257.524,85.8859,216.617,NA,NA,NA,NA,NA,0.00448,0.00547,12,0.0538,2,7,130670,2,125893,1,NA,4.31380116885062
"82",570,9,3,5,"Male","A3-old","ASD",4502.77,7.50461,158,125.292,14.3477,65,96.7301,30.8308,53.6117,16,4,20,0,0,6,8.545,5,10.355,140.207,144.978,292.793,245.946,50.8842,251.351,NA,NA,NA,NA,NA,0.002,0.00803,123,0.246,NA,NA,NA,NA,NA,NA,NA,-0.543437824881316
"83",571,9,3,6,"Male","A3-old","ASD",4670.04,7.84403,137,74.4411,16.016,69,80.1468,16.383,51.1483,13,7,35,0,0,10,19.445,4,7.965,246.647,153.02,97.2306,290.49,62.5292,173.207,NA,NA,NA,NA,NA,0.00684,0.01223,47,0.3216,20,14,16993,12,100,2,NA,12.646512701182
"84",572,9,3,7,"Male","A3-old","ASD",4376.36,7.29758,98,85.4521,0,38,57.0237,3.1031,50.4421,14,6,30,0,0,10,39.585,3,8.43,145.913,213.413,210.911,210.644,56.3564,296.43,NA,NA,NA,NA,NA,0.00679,0.01475,379,2.5735,165,11,2135,61,158,3,NA,-8.45892315520022
"85",573,9,3,8,"Male","A3-old","ASD",3918.77,6.53528,87,57.8579,3.26994,33,36.7034,12.6126,47.8841,14,6,30,0,0,18,37.855,1,0.66,162.062,155.389,226.593,259.826,45.5456,220.087,NA,NA,NA,NA,NA,0.00976,0.02169,257,2.5103,65,13,5504,21,251,3,NA,4.14022958327863
"86",574,9,3,9,"Male","N5","NT",4115.21,6.8583,115,63.9973,20.3537,45,45.5455,22.1889,49.1492,18,2,10,2,26.885,20,68.295,3,0.85,198.832,263.163,125.626,165.399,77.8445,321.822,NA,NA,NA,NA,NA,0.01957,0.04832,347,6.7927,170,28,2023,62,158,3,NA,-16.0525716256073
"87",575,9,3,10,"Male","N5","NT",4068.36,6.79496,91,52.686,11.5115,34,37.671,11.7451,48.5932,19,1,5,0,0,12,34.295,2,6.95,115.382,210.043,254.988,264.932,84.351,197.097,NA,NA,NA,NA,NA,0.01323,0.03881,42,0.5557,10,14,14742,6,100,2,NA,7.34098941841313
"88",576,9,3,11,"Male","N5","NT",3824.41,6.37367,92,52.0854,22.1221,34,47.3807,22.3223,49.1548,16,4,20,0,0,14,46.185,0,0,134.067,294.394,151.618,261.061,54.7214,269.97,NA,NA,NA,NA,NA,0.0063,0.00956,69,0.4347,7,5,22743,2,19953,4,NA,-0.838839917066984
"89",577,9,3,12,"Male","N5","NT",4845.29,8.08088,135,80.2135,0,56,58.8255,14.1475,55.8441,19,1,5,8,21.645,35,87.865,2,6.895,152.186,271.271,134.334,248.148,80.0134,212.346,NA,NA,NA,NA,NA,0.0018,0.00517,155,0.2797,30,7,11479,19,158,2,NA,3.88734706641129
"90",578,9,3,13,"Male","A24-new","ASD",5425.18,9.05053,131,64.7314,4.5045,50,50.9843,4.97164,58.1938,12,8,40,3,16.86,18,50.275,3,7.5,203.17,152.386,167.734,218.986,126.86,238.939,NA,NA,NA,NA,NA,0.06956,0.11043,71,4.9392,35,38,7962,12,1259,3,NA,-2.17863187203145
"91",579,9,3,14,"Male","A24-new","ASD",3476.45,5.79602,95,51.5515,2.76944,44,55.0217,5.37204,45.5541,18,2,10,0,0,13,33.955,3,9.285,109.209,271.972,191.692,253.587,70.1368,220.454,NA,NA,NA,NA,NA,0.00578,0.01217,65,0.3757,11,7,32470,8,3162,1,NA,3.49473990646378
"92",580,9,3,15,"Male","A24-new","ASD",3809.97,6.35419,104,72.2055,10.8775,45,90.6907,11.2779,47.1167,13,7,35,0,0,12,24.135,5,14.06,259.326,164.698,151.518,261.862,58.3584,245.579,NA,NA,NA,NA,NA,0.006,0.01652,67,0.402,5,11,34587,4,1585,1,NA,1.60442297725253
"93",581,9,3,16,"Male","A24-new","ASD",4066.96,6.79452,108,96.0627,5.8058,40,56.5232,6.00601,46.9165,16,4,20,0,0,17,48.005,2,7.08,178.145,195.329,162.663,192.526,73.4735,280.447,NA,NA,NA,NA,NA,0.00653,0.00792,91,0.5943,18,12,20331,12,3162,2,NA,-9.29450518317113
"94",582,9,3,17,"Male","C1","NT",3323.37,5.53987,121,77.6443,2.76944,46,55.0217,3.57024,45.0234,19,1,5,0,0,9,40.395,4,6.185,200.234,260.928,133.567,277.311,78.0781,217.15,NA,NA,NA,NA,NA,0.01459,0.02973,48,0.7007,8,14,40117,7,40,1,NA,6.08349293473095
"95",583,9,3,18,"Male","C1","NT",4015.33,6.70377,78,53.4201,3.03637,30,44.0774,3.33667,50.1501,9,11,55,2,6.865,16,84.295,3,1.62,144.845,245.546,171.738,220.621,100.968,255.856,NA,NA,NA,NA,NA,0.01386,0.02529,1059,14.68,834,21,406,221,158,4,NA,-3.69745024418808
"96",584,9,3,19,"Male","C1","NT",4117.73,6.86403,122,94.3277,6.13947,39,28.4952,6.30631,49.2549,20,0,0,0,0,15,39.265,1,10.465,159.86,275.475,155.055,322.456,78.5786,185.886,NA,NA,NA,NA,NA,0.00896,0.01886,85,0.7619,25,8,12375,20,100,1,NA,13.4328857344071
"97",585,9,3,20,"Male","C1","NT",4034.71,6.76288,96,69.0023,57.6243,42,106.373,113.013,46.8972,19,1,5,0,0,16,37.99,4,5.74,98.1315,221.655,219.987,145.946,108.742,291.491,NA,NA,NA,NA,NA,0.00317,0.00566,66,0.2093,NA,NA,NA,NA,NA,NA,NA,-16.6361098855378
"98",586,9,3,21,"Male","A3-old","ASD",3395.41,5.65902,70,44.3443,3.1031,31,78.5452,3.47014,42.5346,9,11,55,0,0,20,69.25,2,11.29,126.627,230.43,217.851,311.311,84.3177,168.735,NA,NA,NA,NA,NA,0.01902,0.02184,1509,28.7119,1239,23,243,195,158,6,NA,14.8502435183295
"99",587,9,3,22,"Male","A3-old","ASD",3102.36,5.1706,125,119.019,11.5115,63,100.968,13.2799,42.4234,5,15,75,0,0,22,80.73,0,0,84.2509,230.23,160.194,157.724,82.9496,281.582,NA,NA,NA,NA,NA,0.00197,0.00327,44,0.0867,5,13,29555,4,25,1,NA,-14.0970075528219
"100",588,9,3,23,"Male","A3-old","ASD",3888.1,6.48016,82,34.7347,1.73507,24,31.8652,85.0517,47.3058,16,4,20,0,0,12,40.65,2,0.71,262.83,138.605,176.143,198.732,87.3207,294.294,NA,NA,NA,NA,NA,0.01165,0.02746,77,0.8975,16,34,17037,11,32,1,NA,-9.69137530272238
"101",589,9,3,24,"Male","A3-old","ASD",3825.27,6.43882,76,31.1979,6.10611,30,36.9369,89.5229,46.2492,13,7,35,0,0,10,33.48,0,0,131.498,209.776,198.465,158.091,82.5492,280.747,NA,NA,NA,NA,NA,0.00561,0.01092,173,0.9711,55,19,432,15,158,4,NA,-13.9750887571268
